"titleId","title"
"ZbZdruDel.1990-07-30.s004-03.toc-item10","Osnutek zakona o regresiranju dela obresti za kredite, ki se uporabljajo za določene namene v kmetijstvu (25. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item11","Osnutek zakona o spremembah in dopolnitvah zakona o zagotovitvi sredstev za ustanoviteljsko vlogo federacije v Jugoslovanski bank za mednarodno ekonomsko sodelovanje (26. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item12","Osnutek zakona o spremembah in dopolnitvah zakona o deviznem poslovanju (27. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item13",""
"ZbZdruDel.1990-07-30.s004-03.toc-item14","Osnutek zakona o spremembah in dopolnitvah zakona o zunanjetrgovinskem poslovanju (28. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item15","Osnutek carinskega zakona (29. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item16","Osnutek zakona o spremembah in dopolnitvah zakona o Narodni banki Jugoslavije in enotnem monetarnem poslovanju narodnih bank republik in narodnih bank avtonomnih pokrajin (30. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item17","31. točka dnevnega reda je strogo zaupne narave"
"ZbZdruDel.1990-07-30.s004-03.toc-item18","Osnutek zakona o določitvi skupnega zneska sredstev za financiranje programa pridobivanja uradnih poslopij in stanovanj za potrebe diplomatskih in konzularnih predstavništvih SFRJ v tujini v obdobju 1990 do 1994 (32. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item19","Osnutek zakona o prenehanju veljavnosti zakona o sredstvih rezerv (33. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item20","Pobuda za sklenitev dogovora o dopolnitvi dogovora o uskladitvi temeljev politike obdavčenja meničnih kreditov ter o izdajanju enotnih meničnih golic in njihovem dajanju v obtok - z osnutkom dogovora (34. točka dnevnega reda)"
